Havering;242080.0;;43.35
Hillingdon;286806.0;;44.67
Hounslow;262407.0;;21.61
Haringey;263386.0;;11.42
Richmond upon Thames;191365.0;;22.17
Newham;318227.0;;13.98
Barnet;369088.0;;33.49
Redbridge;288272.0;;21.78
Merton;203223.0;;14.52
Greenwich Note 3;264008.0;;18.28
Kensington and Chelsea;155594.0;;4.68
Bromley;317899.0;;57.97
Lambeth;314242.0;;10.36
Harrow;243372.0;;19.49
Ealing;342494.0;;21.44
Southwark;298464.0;;11.14
Bexley;236687.0;;23.38
Tower Hamlets;272890.0;;7.63
Kingston upon Thames;166793.0;;14.38
Barking and Dagenham Note 1;194352.0;;13.93
Brent;317264.0;;16.7
Islington;215667.0;;5.74
Westminster;226841.0;;8.29
Wandsworth;310516.0;;13.23
Hackney;257379.0;;7.36
Croydon;372752.0;;33.41
Sutton;195914.0;;16.93
Enfield;320524.0;;31.74
Hammersmith and Fulham Note 4;178685.0;;6.33
Camden;229719.0;;8.4
Waltham Forest;265797.0;;14.99
Lewisham;286180.0;;13.57
